"Admirality Court";"Curtea de judecată a Amiralității. Nume folosit pentru a desemna Înalta Curte de Judecată a Amiralității (High Court of Admirality), loc unde se investighează și se judecă diverse cazuri ce implică nave sau industria maritimă"
"Admirality flag";"Pavilionul (steagul) Amiralității. Pavilionul ce se arborează în onoarea șefului de cabinet al Amiralității Marii Britanii (Lord High Admiral of Great Britain). Pavilionul are culoare roșie și are ca semn distinctiv o ancoră orizontală de culoare galbenă."
"Admirality hitch";"Nod de plasă. Nume folosit uneori pentru a descrie un nod de plasă (marline spike hitch)"
"Admirality list of lights, fog signals and visual time signals";"Lista Amiralității pentru faruri, semnale de ceață și semnale orare vizu-ale. Reprezintă nouă volume aranjate pe zone geografice, în care sunt date caracteristicile mijloacelor ajutătoare în navigație menționate în titlu. NU conțin detalii despre balizaj. "
"Admirality list of radio signals";"Lista Amiralității pentru semnale radio. Volume publicate de către Departamenul Hidrografic al Amiralității (Hydrographic Department of Admirality) ce conțin regulile generale și semnalele radio folosite pentru comunicarea cu stațiile și serviciile de coastă. Conțin detalii despre radio balize, semnale orare, avize de navigație și de gheață etc."
"Admirality pattern anchor";"Ancoră tip amiralitate. Tip mai vechi de ancoră cu brațe fixe. Se compune din fus (tijă) din a cărui extremitate inferioară (denumită diamant) se desfac brațele ancorei, brațe ce se termină cu gheare (o parte plată, aproximativ triunghiulară, denumită palmă, partea superioară a “palmei” numindu-se unghie). Partea din interiorul locului de desfacere a fiecărui braț se numește “gât”. La partea opusă diamantului fusul are un orificiu pătrat (numit “pătratul ancorei”) prin care trece o traversă ce are un capăt încovoiat și terminată la ambele capete cu câte o bilă (sferă) denumită și măr sau nucă. Un opritor sau un guler fixează traversa pe fus, fiind asigurat cu o pană prinsă cu un lănțișor. Deasupra pătratului se află un orificiu prin care trece inelul de care se prinde lanțul de ancoră. Unghiul dintre braț și fus se numește “unghi de mușcare iar distanța dintre gheare se numește “deschidere”. La ora actuală ancora tip amiralitate se folosește numai pe navele cu vele sau pe nave mai mari ca ancorot. "
"Admirality method of tidal prediction";"Metoda Amiralității pentru determinarea fazelor mareei. Metodă folosită pentru determinarea fazelor mareei în diverse locuri pe baza Tablelor de Maree ale Amiralității (Admirality Tide Tables) în conjuncție cu NP 159 (Nautical Publication – Publicația Nautică)"
"Admirality Sailing Directions";"Direcțiile de navigație ale Amiralității. Sunt o serie de volume emise de către Departamentul Hidrografic al Amiralității ce conțin toate informațiile posibile la rutele ce se pot urma în apele navigabile din în-treaga lume. Aceste volume se mai numesc și “pilots” deoarece, asemeni unui pilot, oferă informațiile necesare tranzitării/navigației în orice loc s-ar afla nava. "
"Admirality Tide Tables";"Tablele de maree ale Amiralității. Volume ce conțin predicțiile zilnice ale evoluției mareelor în porturile principale ale lumii și în diverse puncete de pe glob. Mai conțin instrucțiunile necesare pentru determinarea timpilor și înălțimii mareei în porturi (numite și porturi secundare) pentru care tablele nu conțin informații/predicții directe. "
"Admissible as general average (allowable as general average)";"Expresie ce desemnează, într-o ajustare de avarie comună, o cheltuială recuperabilă de la toate părțile implicate in expediția maritimă. Faptul că o anumită cheltuială este sau nu admisă depinde de regulile și jurisdicția agreate în contractul de transport. De exp. conform Regulilor York-Anvers cheltuielile de intrare/ieșire intr-un/dintr-un port de refugiu se admit ca avarie comună."
"Adrift";"În derivă. Navă care nu este legată la cheu, nu este ancorată sau pusă pe uscat ci este rămasă fără propulsie, la voia elementelor naturii (vânt, val, curent, maree). Colocvial, termenul poate descrie o persoană care lipsește de la locul ei de activitate."
"Advance";"Avans (la înaintare). Distanța dintre poziția unde nava începe să schimbe de drum și poziția la care nava a ajuns la noul drum.Se măsoară pe o linie paralelă cu drumul inițial."
"Advance call";"Plată în avans. Plată care in mod normal se face în avans o dată pe an de către armator către clubul/asociația de asigurare (P&I) la care este înscrisă nava armatorului. Această plată este o taxă bazică pentru serviciile oferite de clubul P&I, având ca bază de calcul tonajul navei. Totalul plaților anticipate plătite de către membrii inscriși la clubul respectiv, reprezintă suma de plăți-daune anticipate din fondul clubului"
"Advance frieght";"Navlu anticipat. Reprezintă navlul plătibil la un moment prestabilit, agreat între armator și navlositor, înainte ca bunurile acoperite de contractul de transport să fie livrate în portul de destinație descris in conosament. A nu se confunda cu avans la navlu (vezi mai jos)"
"Advance note";"Notă de avans. Notă emisă de Comandantul unei nave (și doar la discreția acestuia) unui navigator nou angajat. Această “notă” permite purtătorului să ridice o anumită sumă după plecarea navei din port. Suma respectivă rareori depășește salariul lunar al navigatorului repectiv și se recuperează prin reținerea pe statul de plată."
"Advance on freight";"Avans la navlu. Sumă plătită în avans de către expeditor comandantului navei pentru ca acesta să poată să plătească  cheltuielile portuare (disbursements). Această sumă se deduce ulterior din navlul datorat."
"Advance to master";"Reprezintă același lucru ca și Advance on freight (vezi mai sus)."
"Advection";"Advecție. Termen folosit în meteorologie însemnând transferul căldurii pe orizontală prin intermediul curenților de aer."
"Adventure";"Aventură. Termen folosit în asigurările maritime și care denotă o acțiune/intreprindere ce implică un risc sau un hazard. "
"Advertise";"A face reclamă, a anunța. A face cunoscut în mod public de o astfel de  manieră încât în circumstanțe normale o anumită problemă (un anume fapt) să vină în atenția celor interesați. Exemplu: „A liner conference is advertising its new tariffs” – o conferință de linie își anunță (face cunoscute) noile tarife."
"Advice";"Aviz, sfat. Notificare formală conținând informații referitoare la o tran-zacție/acțiune."
"Advice boat";"Ambarcațiune curier. Ambarcațiune (barcă) de mici dimensiuni folosită la distribuire ordinelor (scrise sau verbale) către navele unei flote militare sau a unui escadron."
"Advice note";"Notă de aviz (avizare). Notă trimisă de catre un furnizor de bunuri de exp către agentul unei nave. In această notă se face o descriere a bunurilor ce urmează a fi livrate, data la care urmează să sosească precum și metoda de expediere către navă."
"Aerial";"Antenă radio. Tip de antenă formată dintr-un fir sau dintr-un sistem de fire, folosită pentru recepția și/sau emisia undelor radio. În Engleza din SUA se numește “antenna”."
"Aerolite";"Aerolit. Tip de meteorit format în special din rocă (piatră)."
"Aerology";"Aerologie. Știința care se ocupă cu studiul atmosferei, în mod deosebit cu partea superioară a atmosferei."
"Affidavit";"Declarație/depoziție (sub jurământ). Declarație solemnă făcută în fața unei autorități legal desemnată să administreze un jurământ."
"Affirmed";"Afirmat. Confirmat sau ratificat."
"Affreight (to)";"A afreta. Termen învechit însemnând a închiria o navă (serviciile acesteia) pentru un voiaj sau o perioadă de timp contra unei sume de bani numită chirie (hire) sau navlu (freight). Termenul actual folosit este “to charter”(a navlosi)."
"Affreightment";"Afretare, închiriere. Închirierea unei nave. Un contract de afretare poate fi pur și simplu un contract de închiriere. Termenul mai poate fi folosit pentru a descrie un contract pentru o serie de voiaje pentru mărfuri în vrac."
"Afloat";"Care plutește. Termen ce definește starea unui obiect care este capabil să rămână la suprafața apei, parțial imersat."
"Afore";"Înainte de/ înainte. Termen învechit, folosit  pentru descrierea părții din față a navelor. Actual “fore” sau “forward”."
"Aft";"Pupa. La sau către extremitatea din spate a navei. Termenul mai este cunoscut și ca „abaft”."
"Aft peak tank / After peak tank (Apk)";"Tanc pupa. Tanc situat la extremitatea din spate a unei nave. In mod normal este folosit ca tanc de balast în scopul de a crea suficientă asietă și afundare pentru buna functionare a navei/elicei. "
"After date";"După data. În contextul unui document comercial termenul înseamnă “după data menționată” în documentul respectiv"
"After end";"Extremitatea pupa. Partea din spatele navei."
"Afterglow";"Reprezintă lumina solară reflectată în nori, pe timpul crepusculului de seară, după ce soarele a apus."
"After leech";"Grandee (margine) de cădere pupa (la o velă pătrată). Grandeea este o parâmă vegetală sau sârmă cusută pe marginea unei vele (sau a unei tende) pentru a o întări."
"After part";"Partea din pupa. 1.Zona care este situată în partea din spate (pupa) a navei, în apropierea etamboului (stern). 2.Parte din echipa de cart (la veliere) care are ca atribuțiune manevra-rea velelor din zona pupa.  "
"After sight";"După luarea la cunoștință . Expresie folosită în cadrul unui document însemnând “după ce plătitorul a andosat drept confirmare că a văzut (citit) documentul” (after payer endorsed it as an acknowledgement of sighting it)."
"After swim";"Zona aviată din pupa a corpului navei. Zonă a corpului navei astfel modelată încât să permită o cât mai bună scurgere a apei către elicea navei și o creștere a suprafeței plutirii proporțională cu creșterea pescajului."
"Against the Sun";"Mișcare circulară în sens retrograd (invers sensului acelor de ceas). Parâmele împletite (răsucite) “pe stânga” se fac colac (se așează circular) în acest mod."
"Age of diurnal tide";"Vârsta mareei diurne. Intervalul de timp dintre momentul la care Luna se află la declinația maximă și momentul următoarei marei de sizigii diurne."
"Age of Moon";"Vârsta Lunii. Reprezintă intervalul de timp, exprimat în zile și fracțiuni de zi, scurs de la Luna Nouă și până la momentul ales. Valoarea maximă pe care o poate lua este 29 zile."
"Age of parallax inequality";"Vârsta inegalității de paralaxă. Intervalul de timp dintre momentul când Luna se află la perigeu și apariția efectului paralactic maxim la maree. Valoarea uzuală este situatî între una și trei zile după."
"Age of phase inequality";"Vârsta inegalității de fază. Vezi “age of tide” (vârsta mareei)."
"Age of semidiurnal tide";"Vârsta mareei semidiurne. Intervalul de timp dintre sizigii și apariția mareei de sizigii semidiurne"
"Age of tide";"Vârsta mareei. Intervalul de timp dintre sizigii și apariția mareei de sizigii datorate acestora. Valoarea poate fi de la mai mult de 7 zile după sizigii până la aproape o zi înainte."
"Agency clause";"Clauza de agenție. Clauză dintr-un contract de navlosire ce desemnează care din părti (armatorul sau navlositorul) va nomina agentul navei în porturile de încărcare sau descărcare."
"Agency fee";"Taxa de agenție (agenturare). Taxă plătibilă de către armator sau operator agentului navei pentru diferitele servicii pe care acest agent le prestează navei. Din serviciile asigurate de agent fac parte : aranjarea unei dane de operare, solicitarea de pilotaj, remorchere, legători de nave, declarația vamală, colectarea navlului etc"
"Agent";"Agent. Denumire generică pentru agentul navei (vezi definiția la Ship's agent).                                                                                       As agent only. Ca agent doar. Formulă folosită la semnarea unui contract de navlosire, conosament, cargo manifest etc prin care agentul navei își definește poziția ca simplu semnatar in numele fie al comandantului navei, al armatorului sau navlositorului după caz, fără ca prin această semnătură să capete drepturi sau răspunderi în cadrul contractului de transport. Mai simplu spus, semnează dar nu își asumă nicio răspundere."
"Agger";"Denumire dată uneori “mareei duble”."
"Aggregate";"Material granular. Material precum nisipul sau pietrișul mărunțit ce se amestecă în ciment (împreună cu apa) pentru a forma betonul. În domeniul maritim de regulă amestecul se face cu nisip iar proporția este de până la șase părți nisip la o parte de ciment, funcție de locul unde urmează a fi utilizat betonul. "
"Aggregate freight";"Navlu global sau efectiv. Este navlul plătibil la portul de descărcare după ce au fost luate în considerare toate sumele datorate sau de primit, cum ar fi diverse deduceri, contrastaliile și staliile, avansul la navlu etc. "
"Aggregate clause";"Clauza de comasare. Clauză existentă în multe contracte de transport și care permite comasarea (adunarea) mai multor partide de marfă ca și cum ar fi un singur lot."
"Agonic line";"Agonă. Linie pe suprafața Pământului care trece prin toate punctele în care variația câmpului magnetic este zero."
"Agreement";"Înțelegere. În sens mai larg are și înțelesul de contract. În domeniul maritim se poate întâlni ca formă contrasă pentru “articles of agreement” (vezi definiția mai jos). "
"Aground";"Punere pe uscat. Atingerea fundului apei.(vezi și „safe aground”). Starea navei atunci când încetează complet să mai plutească, greutatea ei fiind preluată parțial sau total de către fundul apei."
"Agulhas current";"Curentul Agulhas. Curent (de apă) cald având o orientare către Sud și Vest, venind dinspre Canalul Mozambic și Oceanul Indian către coasta Sud-Estică a Africii. Are o lățime de până la 50 Mile iar viteza sa atinge ocazional chiar și 4 Noduri."
"A.H.";"Anno Hegirae – anul Hegiric. Anul revelațiilor profetului Mahomed, an care este luat ca bază de contare a timpului de către musulmani. Corespunde anului 622 DH (după Hristos)."
"Ahoy";"Hei, alo! Mod de atragere a atenției in lumea marinarilor (britanici în special). Se spune că provine dintr-un strigăt de luptă al vikingilor."
"AHR";"Antwerp-Hamburg range. În raza/zona porturilor Anvers-Hamburg"
"Air";"Aer. Amestec de gaze ce formează atmosfera. Comoziția amestecului este 78% nitrogen, 21% oxigen plus urme de neon, heliu, hydrogen, xenon și ozon. Aerul are conductibilitate termică scăzută (low thermal conductivity)."
"Air Almanac";"Efemeridă aeronautică. Efemeridă special concepută pentru navigația aeriană. Este aranjată pe pagini zilnice pentru o referință rapidă și permite determinarea unghiului orar al unui astru până la cel mai apropiat minut de arc."
"Air bag";"Sac cu aer. În context maritim reprezintă un sac umflat cu aer în scopul de a fi introdus in spațiile rămase între diversele mărfuri stivuite în magaziile unei nave sau containere pentru a preveni deplasarea  sau alunecarea mărfurilor pe durata transportului deplasare ce ar putea compromite stabilitatea navei. Se mai numește și fardaj gonflabil (inflatable dunnage – vezi definitia mai jos)"
"Aircraft carrier";"Portavion. Navă de război special proiectată pentru a permite decola-rea și aterizarea avioanelor de luptă și servind ca bază acestora. "
